Random Sampling
Training parameters: {'LOG_DIR': '../logs', 'dataset': 'cars', 'sz_embedding': 512, 'sz_batch': 128, 'nb_epochs': 60, 'gpu_id': 0, 'nb_workers': 0, 'model': 'googlenet', 'loss': 'Triplet', 'optimizer': 'adamw', 'lr': 0.0001, 'weight_decay': 0.0001, 'lr_decay_step': 20, 'lr_decay_gamma': 0.5, 'alpha': 32, 'mrg': 0.1, 'IPC': None, 'warm': 1, 'bn_freeze': 1, 'l2_norm': 1, 'remark': ''}
Training for 60 epochs.

0it [00:00, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.052902: : 0it [00:02, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.052902: : 1it [00:02,  2.70s/it]
Train Epoch: 0 [2/62 (2%)] Loss: 0.051951: : 1it [00:04,  4.06s/it]
Train Epoch: 0 [53/62 (84%)] Loss: 0.049146: : 52it [01:04,  1.24s/it]
Train Epoch: 0 [53/62 (84%)] Loss: 0.049146: : 53it [01:04,  1.22s/it]
Train Epoch: 0 [54/62 (85%)] Loss: 0.049128: : 53it [01:06,  1.25s/it]
Train Epoch: 0 [54/62 (85%)] Loss: 0.049128: : 54it [01:06,  1.23s/it]
Train Epoch: 0 [55/62 (87%)] Loss: 0.049793: : 54it [01:07,  1.25s/it]
Train Epoch: 0 [55/62 (87%)] Loss: 0.049793: : 55it [01:07,  1.22s/it]
Train Epoch: 0 [56/62 (89%)] Loss: 0.049851: : 55it [01:08,  1.25s/it]
Train Epoch: 0 [56/62 (89%)] Loss: 0.049851: : 56it [01:08,  1.23s/it]
Train Epoch: 0 [57/62 (90%)] Loss: 0.049193: : 56it [01:09,  1.25s/it]
Train Epoch: 0 [57/62 (90%)] Loss: 0.049193: : 57it [01:09,  1.23s/it]
Train Epoch: 0 [58/62 (92%)] Loss: 0.049153: : 57it [01:11,  1.25s/it]
Train Epoch: 0 [58/62 (92%)] Loss: 0.049153: : 58it [01:11,  1.23s/it]
Train Epoch: 0 [59/62 (94%)] Loss: 0.049479: : 58it [01:12,  1.25s/it]
Train Epoch: 0 [59/62 (94%)] Loss: 0.049479: : 59it [01:12,  1.23s/it]
Train Epoch: 0 [60/62 (95%)] Loss: 0.050185: : 59it [01:13,  1.25s/it]
Train Epoch: 0 [60/62 (95%)] Loss: 0.050185: : 60it [01:13,  1.23s/it]
Train Epoch: 0 [61/62 (97%)] Loss: 0.050098: : 60it [01:14,  1.25s/it]
Train Epoch: 0 [61/62 (97%)] Loss: 0.050098: : 61it [01:14,  1.23s/it]
Train Epoch: 0 [62/62 (98%)] Loss: 0.051072: : 61it [01:16,  1.25s/it]
Train Epoch: 0 [62/62 (98%)] Loss: 0.051072: : 62it [01:16,  1.23s/it]
**Evaluating...**

  0%|          | 0/64 [00:00<?, ?it/s]
  2%|▏         | 1/64 [00:08<09:10,  8.73s/it]
  3%|▎         | 2/64 [00:20<10:27, 10.11s/it]
  5%|▍         | 3/64 [00:29<10:05,  9.93s/it]
  6%|▋         | 4/64 [00:37<09:27,  9.45s/it]
  8%|▊         | 5/64 [00:44<08:40,  8.82s/it]
  9%|▉         | 6/64 [00:51<08:17,  8.57s/it]
