Random Sampling
Training parameters: {'LOG_DIR': '../logs', 'dataset': 'cars', 'sz_embedding': 512, 'sz_batch': 128, 'nb_epochs': 1, 'gpu_id': 0, 'nb_workers': 0, 'model': 'bn_inception', 'loss': 'TripletPCA2', 'optimizer': 'adamw', 'lr': 0.0001, 'weight_decay': 0.0001, 'lr_decay_step': 20, 'lr_decay_gamma': 0.5, 'alpha': 32, 'mrg': 0.1, 'IPC': None, 'warm': 1, 'bn_freeze': 1, 'l2_norm': 1, 'remark': ''}
Training for 1 epochs.

0it [00:00, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.057808: : 0it [00:02, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.057808: : 1it [00:02,  2.70s/it]
Train Epoch: 0 [2/62 (2%)] Loss: 0.057288: : 1it [00:03,  3.87s/it]
 69%|██████▉   | 44/64 [01:03<00:29,  1.45s/it]
 70%|███████   | 45/64 [01:06<00:28,  1.49s/it]
 72%|███████▏  | 46/64 [01:08<00:26,  1.50s/it]
 73%|███████▎  | 47/64 [01:12<00:26,  1.53s/it]
 75%|███████▌  | 48/64 [01:13<00:24,  1.54s/it]
 77%|███████▋  | 49/64 [01:15<00:23,  1.54s/it]
 78%|███████▊  | 50/64 [01:17<00:21,  1.54s/it]
 80%|███████▉  | 51/64 [01:18<00:19,  1.53s/it]
 81%|████████▏ | 52/64 [01:19<00:18,  1.53s/it]
 83%|████████▎ | 53/64 [01:21<00:16,  1.53s/it]
 84%|████████▍ | 54/64 [01:22<00:15,  1.53s/it]
 86%|████████▌ | 55/64 [01:25<00:13,  1.55s/it]
 88%|████████▊ | 56/64 [01:26<00:12,  1.55s/it]
 89%|████████▉ | 57/64 [01:28<00:10,  1.54s/it]
 91%|█████████ | 58/64 [01:29<00:09,  1.54s/it]
 92%|█████████▏| 59/64 [01:30<00:07,  1.54s/it]
 94%|█████████▍| 60/64 [01:32<00:06,  1.54s/it]
 95%|█████████▌| 61/64 [01:34<00:04,  1.55s/it]
 97%|█████████▋| 62/64 [01:36<00:03,  1.55s/it]
 98%|█████████▊| 63/64 [01:37<00:01,  1.55s/it]
100%|██████████| 64/64 [01:38<00:00,  1.53s/it]
R@1 : 44.964
R@2 : 57.078
R@4 : 68.577
R@8 : 80.113
R@16 : 88.587
R@32 : 94.380
Corruption : gaussian_noise, Severity : 1

  0%|          | 0/128 [00:00<?, ?it/s]
  1%|          | 1/128 [00:01<02:50,  1.35s/it]
  2%|▏         | 2/128 [00:02<03:01,  1.44s/it]
  2%|▏         | 3/128 [00:04<02:58,  1.43s/it]
  3%|▎         | 4/128 [00:05<02:50,  1.38s/it]
  4%|▍         | 5/128 [00:06<02:39,  1.30s/it]
  5%|▍         | 6/128 [00:07<02:33,  1.26s/it]
  5%|▌         | 7/128 [00:08<02:26,  1.21s/it]
  6%|▋         | 8/128 [00:09<02:28,  1.24s/it]
  7%|▋         | 9/128 [00:12<02:46,  1.40s/it]
  8%|▊         | 10/128 [00:13<02:40,  1.36s/it]
  9%|▊         | 11/128 [00:14<02:37,  1.34s/it]
  9%|▉         | 12/128 [00:15<02:30,  1.30s/it]
 10%|█         | 13/128 [00:16<02:26,  1.27s/it]
 11%|█         | 14/128 [00:17<02:22,  1.25s/it]
 12%|█▏        | 15/128 [00:18<02:18,  1.23s/it]
 12%|█▎        | 16/128 [00:19<02:17,  1.23s/it]
 13%|█▎        | 17/128 [00:20<02:15,  1.22s/it]
 14%|█▍        | 18/128 [00:21<02:13,  1.21s/it]
 15%|█▍        | 19/128 [00:23<02:13,  1.23s/it]
 16%|█▌        | 20/128 [00:24<02:10,  1.21s/it]
